yyyymmdd,area,sex,frequency
2016-01-01,강원,1,
2016-01-01,경기,1,
2016-01-01,경남,1,
2016-01-01,경북,1,
2016-01-01,광주,1,
2016-01-01,대구,1,
2016-01-01,대전,1,
2016-01-01,부산,1,
2016-01-01,서울,1,
2016-01-01,세종,1,
2016-01-01,울산,1,
2016-01-01,인천,1,
2016-01-01,전남,1,
2016-01-01,전북,1,
2016-01-01,제주,1,
2016-01-01,충남,1,
2016-01-01,충북,1,
2016-01-01,강원,2,
2016-01-01,경기,2,
2016-01-01,경남,2,
2016-01-01,경북,2,
2016-01-01,광주,2,
2016-01-01,대구,2,
2016-01-01,대전,2,
2016-01-01,부산,2,
2016-01-01,서울,2,
2016-01-01,세종,2,
2016-01-01,울산,2,
2016-01-01,인천,2,
2016-01-01,전남,2,
2016-01-01,전북,2,
2016-01-01,제주,2,
2016-01-01,충남,2,
2016-01-01,충북,2,
2016-01-02,강원,1,
2016-01-02,경기,1,
2016-01-02,경남,1,
2016-01-02,경북,1,
2016-01-02,광주,1,
2016-01-02,대구,1,
2016-01-02,대전,1,
2016-01-02,부산,1,
2016-01-02,서울,1,
2016-01-02,세종,1,
2016-01-02,울산,1,
2016-01-02,인천,1,
2016-01-02,전남,1,
2016-01-02,전북,1,
2016-01-02,제주,1,
2016-01-02,충남,1,
2016-01-02,충북,1,
2016-01-02,강원,2,
2016-01-02,경기,2,
2016-01-02,경남,2,
2016-01-02,경북,2,
2016-01-02,광주,2,
2016-01-02,대구,2,
2016-01-02,대전,2,
2016-01-02,부산,2,
2016-01-02,서울,2,
2016-01-02,세종,2,
2016-01-02,울산,2,
2016-01-02,인천,2,
2016-01-02,전남,2,
2016-01-02,전북,2,
2016-01-02,제주,2,
2016-01-02,충남,2,
2016-01-02,충북,2,
2016-01-03,강원,1,
2016-01-03,경기,1,
2016-01-03,경남,1,
2016-01-03,경북,1,
2016-01-03,광주,1,
2016-01-03,대구,1,
2016-01-03,대전,1,
2016-01-03,부산,1,
2016-01-03,서울,1,
2016-01-03,세종,1,
2016-01-03,울산,1,
2016-01-03,인천,1,
2016-01-03,전남,1,
2016-01-03,전북,1,
2016-01-03,제주,1,
2016-01-03,충남,1,
2016-01-03,충북,1,
2016-01-03,강원,2,
2016-01-03,경기,2,
2016-01-03,경남,2,
2016-01-03,경북,2,
2016-01-03,광주,2,
2016-01-03,대구,2,
2016-01-03,대전,2,
2016-01-03,부산,2,
2016-01-03,서울,2,
2016-01-03,세종,2,
2016-01-03,울산,2,
2016-01-03,인천,2,
2016-01-03,전남,2,
2016-01-03,전북,2,
2016-01-03,제주,2,
2016-01-03,충남,2,
2016-01-03,충북,2,
2016-01-04,강원,1,
2016-01-04,경기,1,
2016-01-04,경남,1,
2016-01-04,경북,1,
2016-01-04,광주,1,
2016-01-04,대구,1,
2016-01-04,대전,1,
2016-01-04,부산,1,
2016-01-04,서울,1,
2016-01-04,세종,1,
2016-01-04,울산,1,
2016-01-04,인천,1,
2016-01-04,전남,1,
2016-01-04,전북,1,
2016-01-04,제주,1,
2016-01-04,충남,1,
2016-01-04,충북,1,
2016-01-04,강원,2,
2016-01-04,경기,2,
2016-01-04,경남,2,
